3 8 66 39
39 66 67 38
38 67 68 37
37 68 69 36
36 69 70 35
35 70 71 34
34 71 72 33
33 72 73 32
32 73 74 31
31 74 75 30
30 75 76 29
29 76 77 28
28 77 78 27
27 78 26 2
8 5 40 66
66 40 41 67
67 41 42 68
68 42 43 69
69 43 44 70
70 44 45 71
71 45 46 72
72 46 47 73
73 47 48 74
74 48 49 75
75 49 50 76
76 50 51 77
77 51 52 78
78 52 7 26
5 9 79 40
40 79 80 41
41 80 81 42
42 81 82 43
43 82 83 44
44 83 84 45
45 84 85 46
46 85 86 47
47 86 87 48
48 87 88 49
49 88 89 50
50 89 90 51
51 90 91 52
52 91 25 7
9 4 53 79
79 53 54 80
80 54 55 81
81 55 56 82
82 56 57 83
83 57 58 84
84 58 59 85
85 59 60 86
86 60 61 87
87 61 62 88
88 62 63 89
89 63 64 90
90 64 65 91
91 65 6 25
4 53 92 10
10 92 11 0
53 54 93 92
92 93 12 11
54 55 94 93
93 94 13 12
55 56 95 94
94 95 14 13
56 57 96 95
95 96 15 14
57 58 97 96
96 97 16 15
58 59 98 97
97 98 17 16
59 60 99 98
98 99 18 17
60 61 100 99
99 100 19 18
61 62 101 100
100 101 20 19
62 63 102 101
101 102 21 20
63 64 103 102
102 103 22 21
64 65 104 103
103 104 23 22
65 6 24 104
104 24 1 23
